Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
422.793,587.55,100,587.7,587.4,200
423.511,587.52,200,587.64,587.4,200
424.975,587.575,200,587.65,587.5,100
425.81,587.575,200,587.65,587.5,100
426.103,587.525,200,587.65,587.4,500
428.985,587.48,5,587.56,587.4,500
429.999,587.17,100,587.27,587.07,300
430.927,587.155,122,587.24,587.07,318
431.991,587.145,22,587.22,587.07,300
432.746,587.145,22,587.22,587.07,300
433.534,587.17,22,587.22,587.12,100
434.952,587.3,4,587.4,587.2,118
435.128,587.305,104,587.4,587.21,18
436.644,587.3,104,587.4,587.2,100
437.739,587.3,104,587.4,587.2,100
438.495,587.3,104,587.4,587.2,100
439.938,587.23,44,587.38,587.08,100
440.978,587.375,200,587.54,587.21,100
441.881,587.375,200,587.54,587.21,100
442.913,587.275,200,587.45,587.1,18
443.88,587.255,200,587.44,587.07,300
444.796,587.265,200,587.42,587.11,18
445.249,587.245,200,587.42,587.07,300
446.985,587.375,200,587.43,587.32,100
447.942,587.14,499,587.27,587.01,18
448.985,587.2,200,587.41,586.99,100
449.597,587.15,100,587.31,586.99,100
450.864,587.15,100,587.28,587.02,18
451.901,587.135,100,587.28,586.99,110
452.617,587.185,100,587.38,586.99,110
453.836,587.165,96,587.34,586.99,110
454.377,587.2,96,587.34,587.06,18
456.917,587.245,1,587.35,587.14,18
458.754,587.22,100,587.36,587.08,100
459.939,587.235,100,587.34,587.13,91
460.875,587.235,100,587.34,587.13,291
461.979,587.26,100,587.36,587.16,200
462.863,587.24,100,587.32,587.16,200
463.575,587.24,100,587.32,587.16,200
464.776,587.26,100,587.36,587.16,200
465.771,587.265,200,587.37,587.16,200
466.342,587.245,100,587.33,587.16,200
468.998,587.245,100,587.33,587.16,200
469.114,587.275,200,587.37,587.18,18
470.151,587.265,200,587.37,587.16,200
471.632,587.25,100,587.32,587.18,18
472.608,587.26,100,587.32,587.2,100
473.566,587.24,100,587.32,587.16,300
474.305,587.24,100,587.32,587.16,300
475.887,587.21,100,587.29,587.13,200
476.85,587.1,118,587.21,586.99,10
477.865,587.045,100,587.2,586.89,500
478.857,587.015,100,587.14,586.89,500
479.674,587.015,100,587.14,586.89,500
480.99,587.015,100,587.13,586.9,18
481.758,586.945,1,587.01,586.88,354
482.957,586.945,1,587.01,586.88,351
483.941,586.94,50,587,586.88,351
484.959,586.845,50,587,586.69,200
485.359,586.86,50,587,586.72,18
486.897,586.805,100,586.92,586.69,200
487.936,586.805,100,586.92,586.69,200
488.931,586.89,50,587,586.78,100
489.672,586.935,50,587,586.87,18
490.437,586.9,65,587,586.8,100
491.36,586.9,65,587,586.8,100
492.667,586.9,65,587,586.8,100
493.577,586.85,1,586.89,586.81,100
494.597,586.905,47,587,586.81,100
495.957,586.73,100,586.9,586.56,100
496.721,586.73,200,586.92,586.54,100
497.88,586.73,100,586.92,586.54,100
498.989,586.705,100,586.87,586.54,100
499.759,586.695,100,586.8,586.59,100
500.815,586.695,100,586.8,586.59,100
501.736,586.665,100,586.79,586.54,100
502.933,586.59,100,586.68,586.5,7
503.975,586.585,100,586.67,586.5,7
504.947,586.535,100,586.65,586.42,10
505.483,586.535,100,586.65,586.42,20
506.793,586.43,205,586.56,586.3,100
507.352,586.44,205,586.56,586.32,10
508.988,586.23,200,586.32,586.14,200
509.947,586.195,100,586.28,586.11,100
510.994,586.19,100,586.27,586.11,200
511.998,586.205,100,586.28,586.13,10
512.691,586.115,100,586.23,586,190
513.822,585.965,100,586.1,585.83,100
514.985,585.69,100,585.86,585.52,100
515.985,585.79,42,585.87,585.71,100
516.792,585.815,200,585.92,585.71,100
517.912,585.71,200,585.92,585.5,50
518.994,585.745,201,585.92,585.57,100
519.912,585.745,301,585.92,585.57,100
520.98,585.755,100,585.9,585.61,100
521.727,585.795,100,585.9,585.69,100
522.974,585.795,100,585.9,585.69,100
523.85,585.795,100,585.9,585.69,100
524.635,585.805,100,585.89,585.72,100
525.699,585.795,100,585.87,585.72,100
526.715,585.805,100,585.89,585.72,100
527.99,585.8,14,585.88,585.72,100
528.828,585.8,15,585.88,585.72,50
