Orig_Idx,Time_Interval_End,Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
2745,114.5,114.456,585.035,2,585.22,584.85,100
2768,115,114.721,585.01,402,585.17,584.85,100
2785,115.5,115.407,584.99,2,585.13,584.85,100
2805,116,115.887,585.005,100,585.16,584.85,100
2811,116.5,116.428,584.985,2,585.12,584.85,100
2823,117,116.998,585.065,100,585.28,584.85,100
2834,117.5,117.407,585.065,100,585.28,584.85,100
2835,118,117.558,585.005,100,585.16,584.85,100
2855,118.5,118.413,585.075,100,585.3,584.85,100
2862,119,118.973,585.075,100,585.3,584.85,100
2862,119.5,118.973,585.075,100,585.3,584.85,100
2862,120,118.973,585.075,100,585.3,584.85,100
2864,120.5,120.346,585.035,53,585.22,584.85,100
2865,121,120.53,585.075,100,585.3,584.85,100
2871,121.5,121.456,585.195,100,585.38,585.01,100
2874,122,121.738,585.115,100,585.38,584.85,100
2883,122.5,122.248,585.145,100,585.3,584.99,100
2884,123,122.936,585.155,100,585.3,585.01,147
2890,123.5,123.49,585.145,200,585.3,584.99,100
2892,124,123.78,585.145,200,585.3,584.99,200
2897,124.5,124.483,585.165,200,585.3,585.03,100
2902,125,124.663,585.165,200,585.3,585.03,100
2903,125.5,125.483,585.165,200,585.3,585.03,100
2907,126,125.535,585.155,200,585.28,585.03,100
2908,126.5,126.288,585.155,200,585.28,585.03,100
2914,127,126.773,585.155,400,585.27,585.04,100
2916,127.5,127.483,585.155,400,585.27,585.04,100
2921,128,127.995,585.155,400,585.27,585.04,100
2940,128.5,128.454,585.155,400,585.27,585.04,100
2947,129,128.856,585.15,200,585.26,585.04,100
2948,129.5,129.095,585.15,200,585.26,585.04,100
2985,130,129.918,585.31,200,585.44,585.18,100
2998,130.5,130.407,585.3,100,585.43,585.17,100
3008,131,130.979,585.135,100,585.23,585.04,100
3012,131.5,131.264,585.13,100,585.22,585.04,100
3012,132,131.264,585.13,100,585.22,585.04,100
3015,132.5,132.257,585.135,100,585.23,585.04,100
3024,133,132.993,585.135,100,585.23,585.04,100
3024,133.5,132.993,585.135,100,585.23,585.04,100
3026,134,133.769,585.135,200,585.23,585.04,100
3029,134.5,134.193,585.13,100,585.22,585.04,100
3029,135,134.193,585.13,100,585.22,585.04,100
3038,135.5,135.407,585.135,100,585.23,585.04,100
3053,136,135.666,585.075,100,585.2,584.95,100
3058,136.5,136.253,585.105,113,585.2,585.01,147
3062,137,136.924,585.075,113,585.2,584.95,100
3070,137.5,137.278,585.04,113,585.2,584.88,20
3070,138,137.278,585.04,113,585.2,584.88,20
3070,138.5,137.278,585.04,113,585.2,584.88,20
3074,139,138.878,585.025,113,585.2,584.85,26
3076,139.5,139.154,585.025,113,585.2,584.85,26
3078,140,139.968,585.025,113,585.2,584.85,26
3078,140.5,139.968,585.025,113,585.2,584.85,26
3083,141,140.637,585.09,100,585.33,584.85,26
3089,141.5,141.265,585.07,18,585.29,584.85,26
3089,142,141.265,585.07,18,585.29,584.85,26
3096,142.5,142.426,585.03,100,585.21,584.85,26
3096,143,142.426,585.03,100,585.21,584.85,26
3096,143.5,142.426,585.03,100,585.21,584.85,26
3096,144,142.426,585.03,100,585.21,584.85,26
3096,144.5,142.426,585.03,100,585.21,584.85,26
3099,145,144.933,585.035,100,585.22,584.85,26
3099,145.5,144.933,585.035,100,585.22,584.85,26
3099,146,144.933,585.035,100,585.22,584.85,26
3108,146.5,146.322,585.025,1,585.2,584.85,26
3140,147,146.974,585.025,1,585.2,584.85,26
3180,147.5,147.476,585.025,1,585.2,584.85,26
3183,148,147.521,585.03,1,585.21,584.85,26
3187,148.5,148.399,585.02,1,585.19,584.85,26
3192,149,148.842,585.03,1,585.21,584.85,26
3199,149.5,149.021,585.03,1,585.21,584.85,26
3220,150,149.937,585.025,1,585.2,584.85,26
3220,150.5,149.937,585.025,1,585.2,584.85,26
3220,151,149.937,585.025,1,585.2,584.85,26
3223,151.5,151.426,585.025,1,585.2,584.85,26
3224,152,151.835,585.03,1,585.2,584.86,20
3224,152.5,151.835,585.03,1,585.2,584.86,20
3227,153,152.677,585.02,1,585.18,584.86,20
3228,153.5,153.019,585.02,1,585.18,584.86,120
3228,154,153.019,585.02,1,585.18,584.86,120
3229,154.5,154.063,585.02,1,585.18,584.86,120
3230,155,154.956,585.02,1,585.18,584.86,120
3232,155.5,155.48,585.02,1,585.18,584.86,120
3233,156,155.634,585.02,1,585.18,584.86,120
3233,156.5,155.634,585.02,1,585.18,584.86,120
3233,157,155.634,585.02,1,585.18,584.86,120
3234,157.5,157.02,585.02,1,585.18,584.86,120
3234,158,157.02,585.02,1,585.18,584.86,120
3236,158.5,158.373,585.02,1,585.18,584.86,120
3236,159,158.373,585.02,1,585.18,584.86,120
3238,159.5,159.269,585.02,1,585.18,584.86,120
3242,160,159.621,585.025,1,585.19,584.86,120
3269,160.5,160.346,584.94,1,585.08,584.8,98
3272,161,160.997,584.995,1,585.19,584.8,98
3278,161.5,161.353,584.97,201,585.14,584.8,118
3289,162,161.745,584.965,1,585.12,584.81,98
3289,162.5,161.745,584.965,1,585.12,584.81,98
3290,163,162.514,584.965,1,585.12,584.81,98
3290,163.5,162.514,584.965,1,585.12,584.81,98
3292,164,163.68,584.965,201,585.12,584.81,98
3299,164.5,164.418,585.04,1,585.12,584.96,100
3320,165,164.571,585.055,200,585.15,584.96,100
3339,165.5,165.491,585.075,200,585.19,584.96,100
3350,166,165.588,585.1,100,585.2,585,100
3350,166.5,165.588,585.1,100,585.2,585,100
3350,167,165.588,585.1,100,585.2,585,100
3351,167.5,167.492,585.1,100,585.2,585,100
3351,168,167.492,585.1,100,585.2,585,100
3351,168.5,167.492,585.1,100,585.2,585,100
3358,169,168.919,585.08,100,585.2,584.96,74
3361,169.5,169.369,585.085,100,585.2,584.97,100
3363,170,169.739,585.085,100,585.2,584.97,100
3366,170.5,170.184,585.1,100,585.2,585,98
3370,171,170.864,585.1,100,585.2,585,98
3370,171.5,170.864,585.1,100,585.2,585,98
3374,172,171.705,585.1,100,585.2,585,98
3376,172.5,172.229,585.105,100,585.2,585.01,50
3378,173,172.817,585.05,100,585.09,585.01,50
3380,173.5,173.371,585.05,100,585.09,585.01,50
3380,174,173.371,585.05,100,585.09,585.01,50
3388,174.5,174.22,585.055,100,585.09,585.02,100
3397,175,174.897,585.055,100,585.09,585.02,100
3409,175.5,175.373,585.11,100,585.2,585.02,100
3450,176,175.975,585.21,100,585.33,585.09,100
3559,176.5,176.493,585.285,45,585.33,585.24,200
3565,177,176.636,585.29,45,585.33,585.25,100
3570,177.5,177.489,585.21,45,585.33,585.09,75
3581,178,177.952,585.35,68,585.43,585.27,100
3584,178.5,178.283,585.35,68,585.43,585.27,100
3592,179,178.884,585.365,68,585.43,585.3,175
3613,179.5,179.445,585.41,50,585.5,585.32,453
3636,180,179.934,585.48,980,585.64,585.32,200
3644,180.5,180.369,585.505,980,585.64,585.37,175
3653,181,180.66,585.525,980,585.64,585.41,175
3677,181.5,181.367,585.54,980,585.64,585.44,100
3680,182,181.879,585.525,100,585.61,585.44,100
3693,182.5,182.4,585.57,980,585.64,585.5,376
3695,183,182.531,585.57,980,585.64,585.5,451
3717,183.5,183.407,585.575,100,585.63,585.52,253
3798,184,183.902,585.325,980,585.64,585.01,137
3816,184.5,184.43,585.325,980,585.64,585.01,137
3830,185,184.932,585.39,980,585.64,585.14,278
3900,185.5,185.423,585.375,18,585.61,585.14,100
3907,186,185.893,585.47,880,585.64,585.3,178
3922,186.5,186.48,585.445,18,585.59,585.3,178
3934,187,186.875,585.47,180,585.64,585.3,178
3955,187.5,187.383,585.45,18,585.58,585.32,196
3976,188,187.99,585.515,180,585.64,585.39,151
3976,188.5,187.99,585.515,180,585.64,585.39,151
3979,189,188.816,585.515,180,585.64,585.39,278
4023,189.5,189.414,585.515,180,585.64,585.39,178
4069,190,189.993,585.38,200,585.62,585.14,100
4074,190.5,190.279,585.35,18,585.56,585.14,100
4080,191,190.832,585.395,200,585.62,585.17,18
4081,191.5,191.45,585.395,200,585.62,585.17,18
4081,192,191.45,585.395,200,585.62,585.17,18
4083,192.5,192.02,585.38,200,585.62,585.14,100
4089,193,192.607,585.365,18,585.56,585.17,18
4089,193.5,192.607,585.365,18,585.56,585.17,18
4096,194,193.883,585.35,18,585.56,585.14,100
4116,194.5,194.36,585.36,18,585.58,585.14,200
4124,195,194.966,585.395,180,585.64,585.15,6
4124,195.5,194.966,585.395,180,585.64,585.15,6
4169,196,195.915,585.565,18,585.71,585.42,10
4192,196.5,196.447,585.47,300,585.8,585.14,300
4206,197,196.884,585.6,18,585.77,585.43,13
4307,197.5,197.491,585.85,100,585.88,585.82,120
4388,198,197.946,585.65,18,585.82,585.48,18
4438,198.5,198.475,585.735,59,585.93,585.54,100
4447,199,198.987,585.76,5,585.98,585.54,100
4580,199.5,199.45,586.31,200,586.49,586.13,18
4635,200,199.968,586.445,18,586.52,586.37,100
4900,200.5,200.495,586.445,10,586.73,586.16,12
5006,201,200.995,586.495,2,586.73,586.26,118
5035,201.5,201.438,586.53,116,586.64,586.42,100
5063,202,201.828,586.495,100,586.64,586.35,18
5072,202.5,202.246,586.465,100,586.64,586.29,100
5108,203,202.827,586.565,2,586.73,586.4,18
5121,203.5,203.372,586.515,2,586.73,586.3,100
5136,204,203.844,586.635,2,586.73,586.54,100
5140,204.5,204.33,586.635,2,586.73,586.54,100
5140,205,204.33,586.635,2,586.73,586.54,100
5140,205.5,204.33,586.635,2,586.73,586.54,100
5144,206,205.984,586.635,2,586.73,586.54,100
5144,206.5,205.984,586.635,2,586.73,586.54,100
5144,207,205.984,586.635,2,586.73,586.54,100
5148,207.5,207.311,586.655,2,586.73,586.58,100
5148,208,207.311,586.655,2,586.73,586.58,100
5153,208.5,208.457,586.66,102,586.73,586.59,100
5169,209,208.859,586.71,102,586.73,586.69,100
5209,209.5,209.365,586.755,200,586.82,586.69,200
5215,210,209.918,586.76,100,586.83,586.69,200
5245,210.5,210.485,586.775,200,586.86,586.69,200
5336,211,210.911,586.875,100,586.99,586.76,50
5341,211.5,211.11,586.885,1560,587,586.77,18
5390,212,211.984,586.905,568,587,586.81,14
5392,212.5,212.372,586.88,468,587,586.76,50
5453,213,212.956,586.965,100,587.05,586.88,18
5487,213.5,213.41,586.93,10,587.1,586.76,50
5503,214,213.991,586.945,10,587.1,586.79,18
5515,214.5,214.472,587.035,10,587.1,586.97,100
5522,215,214.983,587.035,10,587.1,586.97,100
5522,215.5,214.983,587.035,10,587.1,586.97,100
5540,216,215.99,586.935,67,587.07,586.8,18
5553,216.5,216.239,586.96,67,587.07,586.85,18
5575,217,216.97,586.99,100,587.16,586.82,100
5585,217.5,217.396,586.98,53,587.09,586.87,14
5594,218,217.974,586.94,160,587.06,586.82,100
5595,218.5,218.186,586.94,160,587.06,586.82,100
5595,219,218.186,586.94,160,587.06,586.82,100
5597,219.5,219.15,586.94,160,587.06,586.82,100
5797,220,219.865,586.355,204,586.58,586.13,14
